City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,25.18,51,75,1.54,US,1723068440
1,talnakh,69.4865,88.3972,9.11,74,0,3.24,RU,1723068441
2,stanley,54.868,-1.6985,14.29,81,20,2.57,GB,1723068442
3,dunedin,-45.8742,170.5036,9.33,81,100,0.89,NZ,1723068443
4,tisul',55.7611,88.3122,15.34,96,57,3.09,RU,1723068444
5,hobyo,5.3505,48.5268,24.31,87,100,10.54,SO,1723068065
6,iskateley,67.6803,53.1512,5.19,90,7,2.9,RU,1723068447
7,ushuaia,-54.8,-68.3,-0.48,84,100,2.56,AR,1723068448
8,port blair,11.6667,92.75,25.02,94,75,0.51,IN,1723068404
9,badger,64.8,-147.5333,25.14,44,75,1.54,US,1723068450
10,kurchum,48.5722,83.6542,19.16,61,38,2.83,KZ,1723068451
11,tiksi,71.6872,128.8694,7.48,87,100,0.95,RU,1723068452
12,fale old settlement,-9.3852,-171.2468,28.22,68,98,8.5,TK,1723068453
13,port-aux-francais,-49.35,70.2167,0.94,98,99,12.4,TF,1723068455
14,isafjordur,66.0755,-23.124,5.91,91,90,1.36,IS,1723068290
15,kruisfontein,-34.0033,24.7314,11.45,48,1,2.7,ZA,1723068242
16,adamstown,-25.066,-130.1015,18.98,65,26,3.52,PN,1723068458
17,uberlandia,-18.9186,-48.2772,24.56,33,0,4.63,BR,1723068190
18,vilyuysk,63.7553,121.6247,10.34,79,11,0.49,RU,1723067910
19,olonkinbyen,70.9221,-8.7187,5.88,100,100,3.28,SJ,1723068461
20,ribeira grande,38.5167,-28.7,22.65,82,8,2.68,PT,1723068462
21,bredasdorp,-34.5322,20.0403,9.05,95,1,1.26,ZA,1723068464
22,east ballina,-28.8667,153.5833,12.11,67,65,3.63,AU,1723068466
23,codrington,-38.2667,141.9667,11.02,62,100,8.86,AU,1723067921
24,nova sintra,14.8667,-24.7167,25.46,83,91,6.38,CV,1723068468
25,hithadhoo,-0.6,73.0833,28.55,73,100,3.18,MV,1723068469
26,amahai,-3.3333,128.9167,24.73,88,71,2.15,ID,1723068471
27,vila velha,-20.3297,-40.2925,23.97,84,0,6.69,BR,1723068011
28,blackmans bay,-43.0167,147.3167,8.07,82,100,0.45,AU,1723068473
29,puerto natales,-51.7236,-72.4875,-0.75,93,75,3.6,CL,1723068474
30,balapur,20.6667,76.7667,24.13,91,100,3.55,IN,1723068475
31,lagunas,-5.2269,-75.6753,30.42,59,94,0.59,PE,1723068476
32,sala,34.0389,-6.8166,23.13,94,20,1.54,MA,1723068477
33,mount gambier,-37.8333,140.7667,10.4,59,100,5.81,AU,1723068479
34,port alfred,-33.5906,26.891,17.32,41,5,4.61,ZA,1723068480
35,hami,42.8,93.45,19.42,68,100,3.66,CN,1723068481
36,margaret river,-33.95,115.0667,14.06,61,50,5.88,AU,1723068482
37,yellowknife,62.456,-114.3525,21.98,47,0,7.6,CA,1723068483
38,lepsy,46.235,78.9456,24.87,30,91,3.23,KZ,1723068485
39,taltal,-25.4,-70.4833,15.31,68,0,2.42,CL,1723068020
40,narrabri,-30.3167,149.7833,10.93,78,0,1.93,AU,1723068487
41,bethel,41.3712,-73.414,19.8,85,98,0.45,US,1723068488
42,sol'tsy,58.1239,30.3238,13.62,97,2,2.08,RU,1723068489
43,placido de castro,-10.3353,-67.1856,31.52,42,82,1.04,BR,1723068490
44,qaqortoq,60.7167,-46.0333,8.18,91,100,1.77,GL,1723068491
45,itoman,26.1247,127.6694,30.01,87,40,3.6,JP,1723068493
46,horta,38.5333,-28.6333,22.23,82,22,2.68,PT,1723068494
47,albany,42.6001,-73.9662,24.69,70,43,1.38,US,1723068440
48,cabo san lucas,22.8909,-109.9124,33.61,62,73,5.81,MX,1723067802
49,gwanda,-20.9333,29.0,13.84,70,0,1.61,ZW,1723068497
50,villa elisa,-25.3667,-57.6167,17.77,93,100,6.17,PY,1723068498
51,whitehorse,60.7161,-135.0538,26.68,28,0,5.66,CA,1723068255
52,san clemente,33.427,-117.612,31.36,78,98,3.13,US,1723068332
53,bonthe,7.5264,-12.505,25.13,81,99,4.55,SL,1723067947
54,grytviken,-54.2811,-36.5092,-7.49,72,40,5.59,GS,1723068503
55,yermentau,51.6214,73.1069,17.93,83,81,0.53,KZ,1723068504
56,saint-joseph,-21.3667,55.6167,18.21,75,0,2.79,RE,1723068505
57,bardai,11.65,7.2333,21.99,94,84,2.49,NG,1723068506
58,longyearbyen,78.2186,15.6401,10.91,93,0,0.0,SJ,1723068508
59,richards bay,-28.783,32.0377,18.95,74,21,7.28,ZA,1723068509
60,hawaiian paradise park,19.5933,-154.9731,28.26,72,20,4.63,US,1723067931
61,new norfolk,-42.7826,147.0587,8.73,85,100,1.46,AU,1723068087
